exp_id,family,status,source_type,verdict_power,family_trial,verdict,done_at_utc8
1,radar_heat,frozen,platform,full,1,,
2,drawdown_rebuy,closed,human,full,1,,2026-07-07 13:58:38.537152
3,drawdown_rebuy,done,human,full,2,NOT_SIG,2026-07-12 11:53:31.242558
4,holder_sell,done,literature,full,1,NOT_SIG,2026-07-17 16:15:33.180739
5,forecast_drift,done,literature,full,1,NOT_SIG,2026-07-08 20:02:50.055214
6,rv_resonance,frozen,platform,full,1,,
7,synthetic_smoke,done,llm,prescreen,1,SIG,2026-07-07 17:38:50.129807
8,limit_open,done,llm,prescreen,1,NOT_SIG,2026-07-18 22:47:22.536829
9,suspension_return,registered,llm,prescreen,1,,
10,volume_drought_break,done,llm,prescreen,1,NOT_SIG,2026-07-29 13:15:03.198872
11,high_pullback,done,llm,prescreen,1,NOT_SIG,2026-07-24 21:58:14.608103
12,st_removal,done,llm,prescreen,1,NOT_SIG,2026-07-23 20:42:44.548957
13,limit_down_open,done,llm,prescreen,1,NOT_SIG,2026-07-21 23:56:37.265408
14,ex_div_gap,done,llm,prescreen,1,NOT_SIG,2026-08-09 20:23:00.819510
15,st_imposition,closed,llm,prescreen,1,,2026-07-29 18:39:12.736056
16,yearend_strength,done,llm,prescreen,1,NOT_SIG,2026-07-30 18:14:21.514511
17,earnings_flash_gap,done,llm,prescreen,1,NOT_SIG,2026-07-31 00:14:22.058089
18,audit_qualified,registered,llm,prescreen,1,,
19,dividend_surprise,done,llm,prescreen,1,NOT_SIG,2026-08-06 21:22:47.003057
20,earnings_revision,done,llm,prescreen,1,NOT_SIG,2026-07-19 20:13:42.003687
21,goodwill_impair,registered,llm,prescreen,1,,
22,delist_warning_financial,registered,llm,prescreen,1,,
23,buyback_announce,registered,llm,prescreen,1,,
24,sox_spillover,done,human,full,1,NOT_SIG,2026-07-28 23:25:53.284244
25,preannounced_exhaustion,registered,human,full,1,,
568,delist_warning_financial,done,llm,prescreen,2,SIG,2026-07-30 00:36:07.188912
