calibration_order,exp_id,family,label,source_type,verdict_power,family_trial,predicted_direction,confidence,direction_hit,verdict,n_events,n_valid,main_n,caar,adj_bmp,rho_bar,kish_n_eff,kp_n_eff,reject_ratio,industry_unknown_pct,prediction_source
1,8,limit_open,一字涨停开板,llm,prescreen,1,negative,0.60,true,NOT_SIG,6005,3742,3618,-0.014817818164073395,-0.4725876556124154,0.06910608539908683,14.418601371806012,13.422188274070596,0.3768526228143214,0.1557990379476216,taosha/docs/limit-open-postrun-narrowfix-acceptance-2026-07-18.md
2,20,earnings_revision,业绩预告修正,llm,prescreen,1,negative,0.55,false,NOT_SIG,4892,3335,3282,0.00698934637496006,0.6072938553928457,0.021716113386233696,45.43502515724997,44.448352999228746,0.31827473426001635,0.06716641679160419,taosha/docs/earnings-revision-s7-delivery-2026-07-19.md
3,13,limit_down_open,一字跌停开板,llm,prescreen,1,positive,0.70,false,NOT_SIG,2794,2124,2036,-0.044783531272772986,-1.4437154277206525,0.07877961411792446,12.62413729266282,11.629612628175144,0.23979957050823192,0.268361581920904,taosha/docs/limit-down-open-s7-delivery-2026-07-21.md
4,12,st_removal,撤销ST风险警示,llm,prescreen,1,positive,0.70,true,NOT_SIG,641,473,463,0.017953489818958123,0.24556225505262455,0.1288951043845724,7.64895788347071,6.663044658647555,0.2620904836193448,0.12684989429175475,taosha/docs/st-removal-s7-delivery-2026-07-23.md
5,11,high_pullback,新高后小幅回撤,llm,prescreen,1,positive,0.60,false,NOT_SIG,42784,39290,38888,-0.004117936425822161,-0.10954785067298213,0.09699720370526861,10.307133327286861,9.307370216322653,0.08166604338070306,0.04418427080682107,taosha/docs/high-pullback-s7-delivery-2026-07-24.md
6,24,sox_spillover,SOX跨市场传导,human,full,1,positive,0.60,true,NOT_SIG,19258,13703,13656,0.0033051753367197385,0.5646755577681967,0.006340770520612997,155.9263429006248,154.9376497421735,0.2884515526015162,0.0020433481719331534,taosha/docs/sox-spillover-s7-delivery-2026-07-28.md
7,10,volume_drought_break,缩量后放量收阳,llm,prescreen,1,positive,0.60,false,NOT_SIG,13889,11432,11312,-0.006845906033937132,-0.30977878394328606,0.09654697718430001,10.349180778326598,9.349998657845303,0.17690258477932178,0.05432120363890833,taosha/docs/volume-drought-break-s7-delivery-2026-07-29.md
8,568,delist_warning_financial,实施ST风险警示,llm,prescreen,2,negative,0.60,true,SIG,765,565,554,-0.15929536336562053,-5.522936355365047,0.042969464364672125,22.38973539618494,21.427660458944132,0.26143790849673204,0.3168141592920354,taosha/docs/st-imposition-s7-delivery-2026-07-29.md
9,16,yearend_strength,年末强势股,llm,prescreen,1,positive,0.50,false,NOT_SIG,7751,6942,6881,-0.0031967252693485917,-0.11178944002480809,0.12220364037830078,8.174603811028497,7.175637466670484,0.1043736292091343,0.04811293575338519,taosha/docs/yearend-strength-persist-v2-delivery-2026-07-30.md
10,17,earnings_flash_gap,业绩快报偏离预告,llm,prescreen,1,positive,0.80,true,NOT_SIG,2529,1841,1822,0.001648578486047189,0.2783298113335189,0.009815666688264883,96.58552739379029,95.63747604998257,0.2720442862791617,0.09397066811515481,taosha/docs/earnings-flash-gap-persist-delivery-2026-07-31.md
