exp_id,family,status,source_type,verdict_power,family_trial,verdict
1,radar_heat,frozen,platform,full,1,
2,drawdown_rebuy,closed,human,full,1,
3,drawdown_rebuy,done,human,full,2,NOT_SIG
4,holder_sell,done,literature,full,1,NOT_SIG
5,forecast_drift,done,literature,full,1,NOT_SIG
6,rv_resonance,frozen,platform,full,1,
7,synthetic_smoke,done,llm,prescreen,1,SIG
8,limit_open,done,llm,prescreen,1,NOT_SIG
9,suspension_return,registered,llm,prescreen,1,
10,volume_drought_break,done,llm,prescreen,1,NOT_SIG
11,high_pullback,done,llm,prescreen,1,NOT_SIG
12,st_removal,done,llm,prescreen,1,NOT_SIG
13,limit_down_open,done,llm,prescreen,1,NOT_SIG
14,ex_div_gap,registered,llm,prescreen,1,
15,st_imposition,closed,llm,prescreen,1,
16,yearend_strength,done,llm,prescreen,1,NOT_SIG
17,earnings_flash_gap,done,llm,prescreen,1,NOT_SIG
18,audit_qualified,registered,llm,prescreen,1,
19,dividend_surprise,registered,llm,prescreen,1,
20,earnings_revision,done,llm,prescreen,1,NOT_SIG
21,goodwill_impair,registered,llm,prescreen,1,
22,delist_warning_financial,registered,llm,prescreen,1,
23,buyback_announce,registered,llm,prescreen,1,
24,sox_spillover,done,human,full,1,NOT_SIG
25,preannounced_exhaustion,registered,human,full,1,
568,delist_warning_financial,done,llm,prescreen,2,SIG
